symbol,company_name,sector,current_price,market_cap,pe_ratio,dividend_yield,exchange,currency
BTM,American Group,Technology,231.53,279429439749,13.99,0.0042,NYSE,USD
DUH,Dynamic Services,Consumer Discretionary,147.25,266507011327,23.82,0.0166,NYSE,USD
ZZM,United Global,Real Estate,199.53,241501534762,28.28,0.0034,NASDAQ,USD
AMH,Alliance LLC,Technology,132.83,232217209344,28.93,0.0,NYSE,USD
MXG,American Capital,Consumer Discretionary,156.97,220286590134,14.37,0.0154,NYSE,USD
APB,Dynamic Partners,Consumer Discretionary,134.98,191434993124,34.64,0.0318,NASDAQ,USD
PW,Regional Services,Materials,189.45,188405482987,11.5,0.0,NASDAQ,USD
SR,Consolidated International,Healthcare,159.41,177605725050,27.02,0.0338,NASDAQ,USD
NUKX,International Solutions,Real Estate,134.5,176842238155,,0.0213,NYSE,USD
DQX,Premier Partners,Financial Services,132.5,169867386917,30.8,0.0315,NYSE,USD
TQS,Advanced Enterprises,Consumer Staples,114.06,169174889901,31.99,0.019,NASDAQ,USD
VF,Pacific Solutions,Industrial,147.37,166051222870,30.0,0.0441,NASDAQ,USD
AQO,International Technologies,Consumer Discretionary,134.57,161463806875,24.69,0.0549,NASDAQ,USD
TIV,Pacific Systems,Financial Services,83.82,149095423608,14.04,0.0454,NYSE,USD
TSK,First Technologies,Utilities,95.64,148148404238,16.46,0.0,NASDAQ,USD
ZOBI,International Resources,Consumer Staples,77.38,147715807171,33.33,0.0079,NYSE,USD
AN,Consolidated Capital,Consumer Staples,87.89,126389223637,16.86,0.0482,NASDAQ,USD
ZID,Pacific Solutions,Industrial,91.83,126218088439,,0.0069,NYSE,USD
NHV,First Corp,Materials,184.1,125354169205,30.0,0.0595,NYSE,USD
DH,Innovative Systems,Consumer Staples,77.1,104433345638,11.02,0.0,NASDAQ,USD
BU,Advanced International,Consumer Discretionary,80.6,94339427946,19.3,0.0586,NYSE,USD
ZQR,Capital Enterprises,Real Estate,65.43,92125196027,,0.0,NYSE,USD
REPD,Superior Capital,Healthcare,66.03,87990429230,14.03,0.0409,NYSE,USD
RV,Superior Systems,Industrial,54.52,87557907713,22.04,0.0203,NYSE,USD
RHV,Innovative Capital,Consumer Discretionary,97.29,86422307556,,0.0127,NYSE,USD
TYB,Consolidated Inc,Energy,117.68,84402003314,13.76,0.0587,NASDAQ,USD
DH,Alliance Holdings,Materials,74.28,81017396242,14.19,0.0365,NYSE,USD
VSO,Global LLC,Energy,52.88,79732674559,11.55,0.0515,NASDAQ,USD
MH,Pacific International,Consumer Discretionary,108.27,79618055508,25.74,0.0462,NASDAQ,USD
MRPM,National Technologies,Real Estate,138.11,78602894576,27.26,0.0507,NASDAQ,USD
PE,Global Industries,Energy,69.48,77459500075,10.91,0.0346,NASDAQ,USD
NUXW,International Systems,Energy,78.86,77425117586,11.05,0.0073,NASDAQ,USD
XS,Regional Solutions,Financial Services,130.39,72656404165,22.35,0.0,NASDAQ,USD
XZ,Pacific Systems,Utilities,47.36,71434077491,24.26,0.0083,NASDAQ,USD
CIL,Global Resources,Materials,76.82,69984782320,31.47,0.041,NASDAQ,USD
SVR,Regional Technologies,Healthcare,331.24,68337121581,26.91,0.055,NASDAQ,USD
GES,Advanced Capital,Industrial,52.13,68035489120,12.98,0.0,NASDAQ,USD
MLC,Premier International,Real Estate,86.86,67682423137,22.68,0.0167,NASDAQ,USD
GDT,Consolidated LLC,Industrial,106.66,67193795373,13.68,0.013,NASDAQ,USD
XFXF,Dynamic Group,Energy,40.16,62918663660,,0.0203,NYSE,USD
RYY,Advanced Capital,Materials,43.24,42861904407,34.53,0.0339,NYSE,USD
ACSY,Dynamic Corp,Energy,130.17,39290707083,24.57,0.0586,NYSE,USD
AJC,Dynamic Technologies,Consumer Staples,60.12,36008399244,,0.0443,NYSE,USD
DSTA,Pacific Enterprises,Consumer Discretionary,35.58,31052503124,31.22,0.0311,NYSE,USD
ME,Superior Holdings,Materials,119.29,28970262819,13.22,0.003,NYSE,USD
BDK,Consolidated Holdings,Industrial,138.37,24709463271,9.17,0.0245,NYSE,USD
RDT,Regional Systems,Energy,148.43,23144752914,11.8,0.0,NYSE,USD
CCJ,Superior Global,Technology,237.13,21366414955,12.4,0.0218,NYSE,USD
DAX,Strategic Partners,Materials,141.33,14617206929,30.19,0.0,NASDAQ,USD
NKE,Superior Partners,Materials,35.3,9124767538,32.7,0.0,NASDAQ,USD
BEOK,Superior International,Utilities,45.63,8463514391,12.51,0.0214,NASDAQ,USD
