symbol,sector,risk_rating,risk_score,volatility,max_drawdown,volume_decline,beta,sharpe_ratio,rsi,price_change_1m,price_change_3m,price_change_6m
AYR,Technology,RED,3,0.28826495051947204,-0.4364637540844723,0.06070159453230419,-0.152168354145194,-1.5354803592846518,67.68864414347374,0.03997688411462756,-0.2797240664877337,-0.2082147109063616
DS,Consumer Discretionary,RED,3,0.32985383904121696,-0.3878338898163613,0.016188134674017404,0.13147948691435848,-0.2635039946939947,36.29943502824859,-0.1478576615831517,-0.3144426267819584,-0.24257681383940088
DJX,Technology,RED,2,0.2993459792365593,-0.45782199682551966,-0.015367683459304803,-0.017760716725235968,-1.4551971930314442,35.64668769716084,-0.05343579397104215,0.11983572606971107,0.10708956518721573
CUIO,Materials,RED,2,0.2858469170264631,-0.3850519092028863,0.130261255586817,0.1180984777517654,-1.1279790109073542,61.41694590713262,-0.04164383561643838,-0.23319368667186285,-0.074983839689722
DHRS,Consumer Discretionary,RED,2,0.1973018250815516,-0.3647448798389963,-0.0037711476481219566,0.024789421632958563,-0.8648965866280894,54.299864925709166,0.03563924357523849,0.1464483807478977,0.09147432075632407
TVP,Industrial,RED,2,0.41696399497973285,-0.3389683571738189,-0.06097302383223681,-0.06216062581280387,0.48806884296005804,41.06194690265486,0.022958482265603545,0.07157258064516128,0.22264212947748926
GA,Consumer Staples,RED,2,0.1933740512246784,-0.2505962661403074,0.07390890121931076,0.0284558428414209,-0.5421123291863095,49.76402726796014,-0.03034288398309069,0.09204401184934409,-0.042663698757187854
TUK,Consumer Staples,RED,2,0.31328770917344634,-0.4592035845920359,-0.020569072622046474,0.10173038369565808,-1.0914710922609092,74.57905544147845,0.1168427594779365,0.0012257633162469294,-0.07102977667493801
GN,Real Estate,RED,2,0.17570675111923453,-0.2987044261426569,-0.02867308288753103,-0.018242845627711845,-1.7959408559904375,39.43452380952379,-0.055094094743672814,-0.16680018310826264,-0.07390447115690375
BFL,Industrial,RED,2,0.21739486475912836,-0.352710535288101,0.1362039976170465,0.015398690422556439,-1.4058375594158368,60.227272727272684,0.09248991935483876,0.023612750885478158,0.04031677465802735
DXRC,Real Estate,RED,1,0.3894593936502556,-0.374921367162927,-0.05283060936719209,-0.07837201078506867,-0.12065001341730255,51.28205128205128,-0.00023326335432698883,-0.09444327065286286,0.062205700123915686
PKH,Healthcare,RED,1,0.3786669215486437,-0.4045434559577895,0.06673736086461465,-0.06586016549280578,-0.3157107278375934,58.55468749999998,0.17763380758807595,0.3117158758607679,0.2675934366453966
TI,Real Estate,RED,1,0.25888651814962116,-0.2376180101670294,0.06503496966073624,0.023180384325505,-0.4852689747625822,57.70925110132162,0.00018501387604079772,-0.1199739540940908,-0.1222601071602533
DB,Consumer Discretionary,RED,1,0.3136457229281948,-0.2519009776456469,-0.029857549428525754,-0.0023948527872478427,0.3889024066878041,25.616591928251097,-0.06535204864465534,0.010506266896043304,0.09624741718323
CW,Consumer Discretionary,RED,1,0.28479927689172485,-0.2867332382310987,-0.09434261304331096,0.019125861449056054,0.5177219668527449,71.99379363847937,0.07463694697737254,0.1868705706825812,0.4107736643759699
VYRV,Consumer Staples,RED,1,0.2527913422155983,-0.3590232281119714,0.07105029948943102,-0.049941592198530144,0.16771634243265754,60.59806508355319,0.04253798033958883,-0.165402775790528,-0.16456602692638206
CQH,Utilities,RED,1,0.3554848718701711,-0.20092975206611616,0.08529326620801012,0.13717624723524277,0.7945873844132079,50.88295687885011,0.07167398358465361,-0.02186411149825776,0.12458688032048085
GXL,Technology,GREEN,0,0.307475088243895,-0.19247878456063508,-0.06257224490700337,-0.01857989315396606,0.7119394949263602,52.67395928289276,0.024929042847861096,-0.007319577385486635,0.1377595566184566
ST,Materials,GREEN,0,0.1696306866852152,-0.15164967006598767,0.03152243977294216,-0.01994162378291717,-0.3108542503802971,70.87980173482029,0.03151665290393623,-0.05461654894046415,-0.061129901039709326
NQWM,Healthcare,GREEN,0,0.26177985239021234,-0.15373520553175293,0.04672685378728792,-0.015268458717485752,1.4138397718940008,82.73072060682682,0.186136657292696,0.1948091719940282,0.28291339553619144
DKC,Healthcare,GREEN,0,0.1506015459772596,-0.17355153754784158,0.08233820802725324,0.004929192288915026,1.1059222551053338,30.278232405891842,-0.032380662815445466,-0.08430441663070071,-0.0759291521486643
CLN,Consumer Staples,GREEN,0,0.18747384806521733,-0.16389244558258678,-0.03895534215686829,0.021525185680700266,0.38883522504386026,50.97636176772866,0.010744985673352333,0.05082852355241104,-0.028738599208397896
DQJ,Utilities,GREEN,0,0.20332679953412483,-0.1289132379248658,0.09209877135007406,-0.07448824245830607,1.6200515286633725,23.692077727952196,-0.10028457598178701,-0.0013897662665824312,0.24550898203592822
VUE,Financial Services,GREEN,0,0.24484907707631748,-0.18091858322527857,0.03494078988415094,-0.052941105154898783,0.6881351430947031,52.82363162467421,0.044979748454487406,0.17160611854684518,0.14372375174988325
ZWL,Materials,GREEN,0,0.22394188438648302,-0.158126430709632,-0.047491708085637525,0.007688566351421361,-0.07015588877390108,60.62124248496991,0.028145069890442048,-0.011801016702977462,0.0601869887027658
